品牌,目标消费群体,分类
圣路鹰,26-40岁,男装
西霸西服,26-40岁,男装
Mt.美特华菲,19-25岁,男装
博布莱斯,不限,男装
巴鲁特,28-45,男装
佰威奇,16-40岁,男装
贝克狮丹,30-50岁,男装
JALOTAILOR,26-40岁,男装
DDY,26-40岁,男装
杰克.范 ,18-40,男装
卡丹路,26-40岁,男装
品立,23-35岁,男装
魔斗士,16-45,男装
韩臣,26-40岁,男装
富人狼,26-40岁,男装
莱柯迪奥,26-40岁,男装
卡堡龙,26-40岁,男装
沙田,25-48,男装
曼奇顿,26-40岁,男装
卡思·威尔,25-45岁,男装
易诗顿,27-45岁,男装
西先生,26-40岁,男装
史考特,19-25岁,男装
舞出我天地,25-35岁,男装
哥利文,26-40岁,男装
梵宝龙,26-40岁,男装
甲胄仕,25-45岁,男装
格里斯蒂亚诺,24-35岁,男装
宝彭,25-50岁,男装
安东尼摩拉托,26-40岁,男装
范佰,26-40岁,男装
法鲁茨,26-40岁,男装
东方波士,30-55岁,男装
奥斯浦,26-40岁,男装
林凡,30-45岁,男装
老儿头,26-40岁,男装
缇弗,26-40岁,男装
驰语,18-35岁,男装
巴迪雷恩,26-40岁,男装
格尼雷汀,26-40岁,男装
裁缝,20-45岁,男装
首家壹佰,26-40岁,男装
卡帝琼斯,25-35岁,男装
文盈,26-40岁,男装
红森林,18-40岁,男装
英邦公子,26-40岁,男装
斯密达,26-40岁,男装
勋爵,15--40岁,男装
九九良品,25-45岁,男装
华诺威时尚男装,25-45岁,男装
阿尔皮纳,28-45岁,男装
另一面,20-35岁,男装
卡拉利,30-45岁,男装
洛赛克斯,20-35岁,男装
云斯顿,26-40岁,男装
九狼王时尚男装,25-60岁,男装
99CM,18-40岁,男装
久久厘米男装,23-38岁,男装
保罗.简依,20-40岁,男装
翡翠,30-45岁,男装
傑思梵,30-45岁,男装
卡格莱曼,26-40岁,男装
威曼,25-35岁,男装
尚印象,26-40岁,男装
柏朴,26-40岁,男装
乾坤马,25-45岁,男装
波士恩爵,28-45岁,男装
域帝文,26-40岁,男装
澳迩顿,26-40岁,男装
GULAO＆SHAYU,26-40岁,男装
佐驰,26-40岁,男装
风之涯,20-40岁,男装
金林德伯格,26-40岁,男装
积上,26-40岁,男装
龙天下,25-35岁,男装
卡古,26-40岁,男装
希德丹顿,26-40岁,男装
克莱蒙梭,26-40岁,男装
费奇赫顿,26-40岁,男装
铭民,26-40岁,男装
蒙卡奇亚,26-40岁,男装
ZUBEN,26-40岁,男装
优搜,26-40岁,男装
意派,26-40岁,男装
彼雅泊,26-40岁,男装
欧堡尼,26-40岁,男装
皮尔卡丹,不限,男装
尚科莫时尚概念店,26-40岁,男装
GRSAGA,26-40岁,男装
OWNONLY,26-40岁,男装
诺蕥,26-40岁,男装
睿锦,26-40岁,男装
漂亮先生,26-40岁,男装
伦德.保罗休闲装,26-40岁,男装
列都,26-40岁,男装
欧尼杰,26-40岁,男装
VERSINO,26-40岁,男装
PR-Ⅱ,26-40岁,男装
阿玛度,19-25岁,男装
钜立,26-40岁,男装
FUGE,26-40岁,男装
云敦至尊,26-40岁,男装
劳尔 卡迪尼,26-40岁,男装
乔斯达,26-40岁,男装
金盾,26-40岁,男装
托马斯.萨博,26-40岁,男装
缔澳菲龙,26-40岁,男装
庄爵,26-40岁,男装
里奥,26-40岁,男装
贝纳川,26-40岁,男装
爱尔尼,26-40岁,男装
亚玛朗尼,25-45岁,男装
九赛马,20-35岁,男装
九鹿·王,25-35岁,男装
约翰.费雷德,30-55岁,男装
迪奥拉,28-40岁,男装
报喜鹿,25-45岁,男装
圣埃菲蒙德,21-36岁,男装
杰泰莱,26-40岁,男装
菲利莫克,26-40岁,男装
铂珏,26-40岁,男装
索比克,25-35岁,男装
奥法罗,26-40岁,男装
蒙迪绅诺,26-40岁,男装
第一版,19-25岁,男装
sinoer,25-45,男装
纽泰,26-40岁,男装
威尼帝,26-40岁,男装
萨意达，阿斯豪，柯蒂尼,26-40岁,男装
黑柏迪亚士威,26-40岁,男装
恩吉奥,26-40岁,男装
ux5,41-60岁,男装
汉邦剪裁,26-40岁,男装
艾法利,35-45岁,男装
宾可尼罗,26-40岁,男装
先锋企鹅,30-45岁,男装
马思图,26-40岁,男装
克劳拉尔,30-35岁,男装
异形,18-38岁,男装
热度,23-38,男装
名盾,26-40岁,男装
时亦,26-40岁,男装
拉雷尼,26-40岁,男装
与狼共舞,25-35,男装
S2CITYLIFE,26-40岁,男装
gxg.1978”jeans,26-40岁,男装
卡奥莱仕,26-40岁,男装
红都,26-40岁,男装
男眼,25-35,男装
路嘉纳,26-40岁,男装
邦迪·斯顿,28-48,男装
日驰尼,26-40岁,男装
劳斯凯瑞,25-50岁,男装
欧度,26-40岁,男装
巴联,24-46,男装
平安车服饰,26-40岁,男装
迪安虎,26-40岁,男装
彼尔戈斯,26-40岁,男装
后街地带,26-40岁,男装
秋意浓,26-40岁,男装
亚宝龙,26-40岁,男装
法勃尔,26-40岁,男装
蒙荻丘,26-40岁,男装
绅士,26-40岁,男装
金皮尔斯,26-40岁,男装
浩男,26-40岁,男装
狼道,26-40岁,男装
铁狮丹顿,26-40岁,男装
拉图阿卑斯,26-40岁,男装
杰克福克斯,26-40岁,男装
汤米,26-40岁,男装
福尔莱嘉,26-40岁,男装
汤尼威尔,26-40岁,男装
杰克利奥,26-40岁,男装
斯多塞尚,26-40岁,男装
Aquamotrice,26-40岁,男装
汤尼俊士,26-40岁,男装
DIRK BIKKEMBERGS,26-40岁,男装
埃臣,26-40岁,男装
傲徒,26-40岁,男装
保多莱,26-40岁,男装
段记,不限,男装
美雨霖,26-40岁,男装
卡雷狄洛,22-45岁,男装
艾特 ,26-40岁,男装
鹿王,26-40岁,男装
死亡奇迹,26-40岁,男装
鹰鹏,26-40岁,男装
猛龙,26-40岁,男装
路易诗兰,26-40岁,男装
雷驰,30-50岁,男装
劳斯顿,26-40岁,男装
乐士,26-40岁,男装
蓝豹洋服,26-40岁,男装
爵仕堡迪,26-40岁,男装
杰胜,26-40岁,男装
斯蒂文,25-35,男装
佛伦斯,20-55岁,男装
斯杰思,26-40岁,男装
尼爵,26-40岁,男装
格罗尼雅,26-40岁,男装
莱尔巴蒂,26-40岁,男装
FANMDIS,26-40岁,男装
古芳,26-40岁,男装
分众·风尚,26-40岁,男装
卡利斯特,26-40岁,男装
格宏,26-40岁,男装
埃弛易,26-40岁,男装
卡拉利男装,26-40岁,男装
ANDZ,26-40岁,男装
堡马,26-40岁,男装
汉崇,26-40岁,男装
北纬30度,25-35岁,男装
INTREX,26-40岁,男装
大红鹰,26-40岁,男装
龙虾,26-40岁,男装
迪迪博迩,26-40岁,男装
镖王,26-40岁,男装
阿仕顿,26-40岁,男装
萨意达,26-40岁,男装
金利来金标,26-40岁,男装
澳伦多兰,26-40岁,男装
MAYOR,26-40岁,男装
GY,26-40岁,男装
旗牌王,19-25岁,男装
贝克曼,26-40岁,男装
培罗成,26-40岁,男装
圣达威,41-60岁,男装
迪克萨斯,0-3岁,男装
太平鸟,19-25岁,男装
SEASOUL,26-40岁,男装
吉牧,26-40岁,男装
能达利,26-40岁,男装
富贵鸟,30-45,男装
盖奇,26-40岁,男装
步森,26-40岁,男装
琴曼,26-40岁,男装
老K,26-40岁,男装
帝牌,26-40岁,男装
雅韵,30-50,男装
罗夫罗伦,26-40岁,男装
爵士堡迪,26-40岁,男装
名诗丹,26-40岁,男装
八零,26-40岁,男装
半百服饰,26-40岁,男装
T100,1-16,童装
童戈,1-15岁,童装
叮当猫,2-18岁,童装
JOJO,2-16岁,童装
芭乐兔,3-16岁,童装
杰米熊,1-16,童装
伊诗比蒂,0-6,童装
兔子杰罗,3-14岁,童装
卓维乐,3-12,童装
梦多多,3-12岁,童装
快乐丘比,0-15岁,童装
小马嘟嘟,0-12岁,童装
土巴兔,0-16,童装
辛芭狗,3--15岁,童装
NICKIE,3-14,童装
西瓜王子,0-16岁,童装
金果果,3-12岁,童装
铅笔俱乐部,1-14,童装
的纯,1-15岁,童装
 瑞比克,3-15,童装
小猪班纳,0-15岁,童装
嗒嘀嗒,0-15岁,童装
皇后婴儿,0-8岁,童装
泡泡噜,3-12,童装
杰米兰帝,3-13岁,童装
淘淘猫,0-16岁,童装
玛玛米雅,3-11岁,童装
蓝角兽,0-3岁,童装
泰迪熊,3-14,童装
好孩子,4-6岁,童装
巴布豆,7-12岁,童装
伊佳林,7-12岁,童装
McDonald's,4-6岁,童装
青蛙皇子,7-12岁,童装
蜜露珂娜,4-6岁,童装
家有一宝,2-12岁,童装
米其仔,7-12岁,童装
婉彤公主,7-12岁,童装
拉比,0-3岁,童装
杰米杰妮,3-12岁,童装
诗克恰,0-12岁,童装
加菲A梦,0-15岁,童装
呗吖吖,0-3岁,童装
麦吉安琪,0-14岁,童装
麦拉贝拉,0-3岁,童装
金色童年,0-14岁,童装
酷童派,3-12岁,童装
蔚雅乐,3-16岁,童装
伊善儿,0-6岁,童装
度度猫,3-12岁,童装
蓝蚁迪堡,3-12岁,童装
希比兒,4-8岁,童装
籽芽,1-16岁,童装
喔也,1-16岁,童装
爱布谷,0-6.5岁,童装
D.DaaBear,2-10岁,童装
青木童,5-14岁,童装
酷比小捍马,7-12岁,童装
小积木,0-15岁,童装
卡莱熊,0-16岁,童装
汤尼罗宾,3-10岁,童装
恋.采依,3-14岁,童装
男生女生,7-12岁,童装
蕾派,5-13岁,童装
一度童装,3-12岁,童装
班吉鹿,3-15岁,童装
澳恬,0-14岁,童装
天使舞台,26-40岁,童装
贵族童话,3-13岁,童装
富贵咪奇,0-16岁,童装
皇儿,0-10岁,童装
不可比喻,8-16岁,童装
卡曼天使,0-12岁,童装
卡特思,0-3岁,童装
汪小荷,3-12岁,童装
ANNAIER,3-12岁,童装
戴维贝拉,0-11岁,童装
卡姿果果,1-12岁,童装
幼幼娜娜,3-17岁,童装
欧克壹佰,4-6岁,童装
阿杰邦尼,7-12岁,童装
快乐丘比童装,2-16岁,童装
1号线,3-15岁,童装
西游童话,3-16岁,童装
一人出品,4-6岁,童装
玩具总动员,3-14岁,童装
阳光一族,1-6岁,童装
丑丑婴幼,0～3岁,童装
裘帛,3岁--15岁,童装
凯纳贝儿,3－12岁,童装
矇矇兔,7-12岁,童装
gretton,0-12岁,童装
倾心果,4-12岁,童装
卡伊卡娃,4-12岁,童装
星童坊,4-16岁,童装
斯踏迪,3-12岁,童装
小丹佛尔,0-4岁,童装
永兴东润,8-14岁,童装
皇后婴儿童装,4-6岁,童装
优仔优妹,3-6岁,童装
小小米,7-12岁,童装
缤果贝绮,7-12岁,童装
咪哦咪哦,7-12岁,童装
花颜巧语，西萌叮,7-12岁,童装
大黄蜂童鞋,7-12岁,童装
托奈克,0-3岁,童装
红蜻蜓童装,1-14周岁,童装
凯蒂猫 爱昵宝蒂,4-15,童装
曼丝,3-14岁,童装
乐贝.艾高,7-12岁,童装
所爱优品,0-3岁,童装
小毛虫,7-12岁,童装
巴拉巴拉,0-16,童装
力果,7-12岁,童装
安奈儿,7-12岁,童装
越位,7-15岁,童装
铅笔俱乐部童装,7-12岁,童装
帕罗索,6-16岁,童装
小熊哇噻,3-16岁,童装
凡兜,1-15岁,童装
彩虹熊,7-12岁,童装
滴滴水花,4-6岁,童装
卡特仕蒂,4-6岁,童装
尼斯兔,7-12岁,童装
蕾佳妮,2-8岁,童装
e童依派,5-15岁,童装
小犀牛,7-12岁,童装
纯色雅园,2-8岁,童装
比士尼,4-6岁,童装
迪美澳特,4-6岁,童装
巴布瑞,7-12岁,童装
童天,7-12岁,童装
亲亲安妮,4-6岁,童装
米拉果,7-12岁,童装
JACKY,0-3岁,童装
小捣蛋,0-3岁,童装
MooMoo,7-12岁,童装
耐克,7-12岁,童装
兄妹猫,7-12岁,童装
七波辉,8-16岁,童装
富罗迷,7-12岁,童装
图图,7-12岁,童装
青蛙王子,0-3岁,童装
大尾巴,7-12岁,童装
窝窝,7-12岁,童装
阿U童装,0-12岁,童装
美孩子,3-15岁,童装
皮卡泡泡,0-8,童装
马里马利,0-3岁,童装
杜比老鼠,7-12岁,童装
哈．贝比,0-3岁,童装
卡西龙,7-12岁,童装
卡丁,7-12岁,童装
WISEMI,7-12岁,童装
香柯,4-6岁,童装
爱佳乐,0-8,童装
欣薇尔,7-12岁,童装
丹尼尔,4-6岁,童装
TUC TUC,4-6岁,童装
DISNEY JEANS,7-12岁,童装
四个小伙伴,7-12岁,童装
ALFONSO,0-3岁,童装
杉杉,7-12岁,童装
因为爱,7-12岁,童装
牧童,7-12岁,童装
丽婴房,0-3岁,童装
阿路和如,0-3岁,童装
爱儿赫玛,0-3岁,童装
加菲猫,3-15岁,童装
大拇哥家族,0-3岁,童装
Armani Junior,7-12岁,童装
E彩彩图,7-12岁,童装
哇喔哇喔,0-5,童装
婴适康,0-3岁,童装
爱得利,0-3岁,童装
福瑞麟,0-3岁,童装
婴之乐,0-5,童装
小石头,0-7,童装
美贝美妈,0-3岁,童装
